index,Mkt-RF,SMB,HML,RF
200105,0.72,3.05,2.83,0.32
200106,-1.94,6.4,-2.28,0.28
200107,-2.13,-4.15,5.56,0.3
200108,-6.46,2.16,3.28,0.31
200109,-9.25,-6.54,1.82,0.28
200110,2.46,6.86,-7.15,0.22
200111,7.54,0.41,0.69,0.17
200112,1.61,5.13,0.47,0.15
200201,-1.44,1.15,3.39,0.14
200202,-2.29,-1.62,3.89,0.13
200203,4.24,4.31,1.12,0.13
200204,-5.2,5.9,4.21,0.15
200205,-1.38,-3.7,2.55,0.14
200206,-7.21,3.55,1.5,0.13
200207,-8.18,-5.22,-3.62,0.15
200208,0.5,-2.26,2.29,0.14
200209,-10.35,2.75,1.31,0.14
200210,7.84,-2.99,-6.45,0.14
200211,5.96,3.2,-1.59,0.12
200212,-5.76,-0.44,3.88,0.11
200301,-2.57,1.39,-0.82,0.1
200302,-1.88,-0.27,-1.45,0.09
200303,1.09,0.73,-1.58,0.1
200304,8.22,1.11,-0.09,0.1
200305,6.05,4.79,0.09,0.09
200306,1.42,1.5,0.71,0.1
200307,2.35,5.58,-2.04,0.07
200308,2.34,2.65,1.76,0.07
200309,-1.24,0.6,0.93,0.08
200310,6.08,2.89,1.69,0.07
200311,1.35,2.25,1.39,0.07
200312,4.29,-2.8,2.78,0.08
200401,2.15,2.63,1.66,0.07
200402,1.4,-1.19,0.44,0.06
200403,-1.32,1.9,-0.05,0.09
200404,-1.83,-2.57,-1.67,0.08
200405,1.17,-0.19,-0.26,0.06
200406,1.86,2.34,1.63,0.08
200407,-4.06,-3.77,4.56,0.1
200408,0.08,-1.57,1.24,0.11
200409,1.6,2.93,0.47,0.11
200410,1.43,0.39,-0.82,0.11
200411,4.54,4.13,1.94,0.15
200412,3.43,0.19,-0.37,0.16
200501,-2.76,-1.55,2.73,0.16
200502,1.89,-0.68,2.84,0.16
200503,-1.97,-1.36,1.7,0.21
200504,-2.61,-3.97,-0.45,0.21
200505,3.65,2.97,-1.21,0.24
200506,0.57,2.59,2.79,0.23
200507,3.92,2.77,-0.47,0.24
200508,-1.22,-0.85,1.47,0.3
200509,0.49,-0.68,1.11,0.29
200510,-2.02,-1,-0.67,0.27
200511,3.61,0.96,-1.85,0.31
200512,-0.25,-0.5,0.5,0.32
200601,3.04,5.31,1.17,0.35
200602,-0.3,-0.32,-0.85,0.34
200603,1.46,3.54,-0.14,0.37
200604,0.73,-1.25,3.06,0.36
200605,-3.57,-3.03,2.79,0.43
